team_number,name,nickname,location,website
0,None,None,"None",None
1,The Chrysler Foundation / BAE Systems / Hirotec &amp; Oakland Schools Technical Campus Northeast High School,The Juggernauts,"Pontiac, MI, USA",http://www.juggernauts.org/
4,Gibbs CAM / SolidWorks / Sawing Services / Best Buy / NASA / WAAG / Full Scale Effects / Roberts Tool Co. / Thomson &amp; HighTech-Los Angeles,Team 4 ELEMENT,"Van Nuys, CA, USA",http://www.team4element.com
5,Ford FIRST Robotics &amp; Melvindale High School,Robocards,"Melvindale, MI, USA",http://www.robocards.org/
6,ATK (Alliant Techsystems) &amp; Hopkins High School,The CogSquad,"Plymouth, MN, USA",http://www.cogsquad.org/
7,Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt &amp; Nichol/Baltimore Area Alliance/Mr.Brookman &amp; Parkville High School and Center for Mathematics, Science, and Computer Science,Team007,"Baltimore, MD, USA",http://www.team007.org
8,The Boeing Company/Google/DreamWorks Animation &amp; Palo Alto High School,The Vikings,"Palo Alto, CA, USA",http://www.palyrobotics.com/
9,Roosevelt High School,Roosevelt RoboRiders,"Chicago, IL, USA",http://www.roboriders9.com
10,Benilde-St. Margaret&#39;s School,Red Knights,"St. Louis Park, MN, USA",None
11,Siemens/BAE Systems/Givaudan/National Defense Education Program &amp; Mt. Olive High School,MORT,"Flanders, NJ, USA",http://www.mort11.org
13,None,None,"None",None
14,None,None,"None",None
15,None,None,"None",None
16,Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST &amp; Mountain Home Public Schools,Bomb Squad,"Mountain Home, AR, USA",http://baxterbombsquad.com
17,None,None,"None",None
18,None,None,"None",None
19,Greenwich High School,Big Red,"Greenwich, CT, USA",None
20,General Electric Volunteers/Global Foundries-Town of Malta Foundation/BAE SYSTEMS/TCT Federal Credit Union/Advanced Manufacturing Techniques Inc./Rensselaer Polytechnic Institute &amp; Shenendehowa High School,The Rocketeers,"Clifton Park, NY, USA",http://www.team20.com
21,The Boeing Company/SGT/Planet Fitness of Daytona/Upper Mohawk/Amovius &amp; Astronaut High School &amp; Titusville High School,ComBBAT,"Titusville, FL, USA",http://www.combbat21.com/
22,Chatsworth High School,Double Deuce,"Chatsworth, CA, USA",http://www.team22.org/
23,Entergy Corporation/Raytheon &amp; Plymouth North High School,PNTA,"Plymouth, MA, USA",http://www.pnta.org
24,None,None,"None",None
25,Day Tool Co. / Distinct Engineering Solutions Inc / BAE systems &amp; North Brunswick Twp. High School &amp; Raider Robotix Parent Mentors,Raider Robotix,"North Brunswick, NJ, USA",http://www.raiderrobotix.org
27,The Chrysler Foundation/BorgWarner/Mclaren Health Care/BAE SYSTEMS/Smith&#39;s Disposal/Recticel North America Inc./Magna Powertrain/Genisys Credit Union &amp; Clarkston Schools &amp; CSMTech Academy Clarkston High School,Team RUSH,"Clarkston, MI, USA",http://www.teamrush27.net
28,Ship Ashore Marina &amp; Pierson High School,Pierson Whalers,"Sag Harbor, NY, USA",http://frcteam28.com
29,None,None,"None",None
30,Bristol-Myers Squibb &amp; High Technology High School,FURY,"Lincroft, NJ, USA",http://www.hthsfury.org
31,Williams / OSDE / AEP / Riverside Eye Clinic &amp; Jenks High School,Prime Movers,"Jenks, OK, USA",http://www.thirtyfirst.org/
33,Chrysler LLC/The Chrysler Foundation/BAE Systems/TI Automotive/JDM Consulting &amp; Notre Dame Preparatory School,Killer Bees,"Auburn Hills, MI, USA",http://www.killerbees33.com/
34,NASA &amp; Limestone County Career Technical Center,Rockets,"Athens, AL, USA",http://www.rockets34.com
35,Alcoa - Howmet Castings &amp; Whitehall High School &amp; Montague High School,Sigma Squared,"Whitehall, MI, USA",http://www.whitelakerobotics.org
37,,,"Coral Gables, FL, USA",None
38,Nonnewaug High School,Nonnebots,"Woodbury, CT, USA",http://www.nonnebots.com
39,Boeing/SIMREX Corporation &amp; Highland High School,The 39th Aero Squadron,"Gilbert, AZ, USA",http://www.HHSRobotics.org
40,intelitek &amp; Trinity High School,Checkmate,"Manchester, NH, USA",http://www.trinityrobotics.org
41,Watchung Hills Regional High School,RoboWarriors,"Warren, NJ, USA",http://www.team41robotics.com
42,Daniel Webster College/HydroCam Corporation &amp; Alvirne H.S.,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),"Hudson, NH, USA",http://www.mv.com/org/alvirne-first/
